DEBUG 2025-09-21 21:39:04,812 autoreload File /usr/lib/python3.10/lib-dynload/_sqlite3.cpython-310-x86_64-linux-gnu.so first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,814 autoreload File /usr/lib/python3.10/asyncio/base_subprocess.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,816 autoreload File /usr/lib/python3.10/base64.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,822 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1758312662.6781063
DEBUG 2025-09-21 21:39:04,827 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/models/utils.py first seen with mtime 1758312770.2460883
DEBUG 2025-09-21 21:39:04,833 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/auth/admin.py first seen with mtime 1758312672.695946
DEBUG 2025-09-21 21:39:04,837 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/template/engine.py first seen with mtime 1758312775.6453054
DEBUG 2025-09-21 21:39:04,838 autoreload File /usr/lib/python3.10/email/base64mime.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,842 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/urllib3/filepost.py first seen with mtime 1758480568.914425
DEBUG 2025-09-21 21:39:04,844 autoreload File /usr/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,846 autoreload File /usr/lib/python3.10/selectors.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,851 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/files/move.py first seen with mtime 1758312765.6869566
DEBUG 2025-09-21 21:39:04,856 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/views/decorators/cache.py first seen with mtime 1758312778.391713
DEBUG 2025-09-21 21:39:04,859 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/compat.py first seen with mtime 1758312896.4715304
DEBUG 2025-09-21 21:39:04,861 autoreload File /usr/lib/python3.10/copy.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,867 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/models/fields/generated.py first seen with mtime 1758312770.3477664
DEBUG 2025-09-21 21:39:04,871 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/utils/representation.py first seen with mtime 1758312905.556932
